                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.088,                 1.3299,                 1.3361,                0.82485,                0.74723,                0.82832,                0.52818,                  1.209,                 1.1534,                 1.4199,             0.00066548,             0.00066548,             0.00066548
                      2,                  1.135,                 1.0695,                 1.3726,                0.80351,                0.70732,                0.79942,                0.47883,                 1.3386,                 1.1917,                 1.5171,              0.0012662,              0.0012662,              0.0012662
                      3,                 1.1136,                 1.0089,                 1.3653,                0.83569,                0.80044,                0.85313,                0.59862,                 1.0646,                0.88858,                 1.3031,              0.0018009,              0.0018009,              0.0018009
                      4,                 1.0662,                0.93924,                 1.3258,                0.88932,                0.74501,                0.86647,                0.58533,                 1.1322,                0.81983,                 1.3256,               0.001703,               0.001703,               0.001703
                      5,                 1.0161,                0.87315,                 1.2852,                0.89862,                0.82927,                0.90469,                0.67759,                0.94482,                0.67714,                 1.2286,               0.001604,               0.001604,               0.001604
                      6,                0.95562,                0.79737,                  1.249,                0.87309,                0.82927,                0.89033,                0.61859,                 1.1119,                0.75922,                  1.328,               0.001505,               0.001505,               0.001505
                      7,                0.92664,                0.76125,                 1.2293,                 0.8874,                0.85622,                0.91582,                0.67083,                0.96191,                0.65435,                 1.2195,               0.001406,               0.001406,               0.001406
                      8,                0.90184,                0.73487,                 1.2106,                0.91669,                0.85387,                0.92898,                0.70931,                0.85983,                0.58461,                 1.1443,               0.001307,               0.001307,               0.001307
                      9,                0.87572,                0.69673,                 1.1885,                0.87766,                0.87487,                0.92517,                0.75179,                0.73584,                0.57455,                 1.0697,               0.001208,               0.001208,               0.001208
                     10,                 0.8433,                0.66805,                 1.1723,                0.89806,                0.89855,                0.94029,                0.74956,                0.75948,                0.54104,                 1.0662,               0.001109,               0.001109,               0.001109
                     11,                0.80702,                0.59039,                 1.1609,                0.91325,                0.86364,                0.92889,                0.70135,                0.92382,                0.56574,                 1.1781,                0.00101,                0.00101,                0.00101
                     12,                0.78082,                 0.5551,                 1.1338,                0.91575,                0.85366,                0.92882,                0.76145,                0.70197,                0.53907,                 1.0587,               0.000911,               0.000911,               0.000911
                     13,                0.74698,                0.52196,                 1.1188,                0.89723,                0.87361,                0.92788,                0.74037,                0.78426,                0.55866,                 1.0935,               0.000812,               0.000812,               0.000812
                     14,                  0.719,                0.49097,                 1.0937,                0.94466,                0.88027,                0.93745,                0.76367,                0.72693,                0.52132,                 1.0422,               0.000713,               0.000713,               0.000713
                     15,                0.69819,                0.46372,                 1.0773,                  0.946,                0.85452,                0.94196,                0.78566,                0.66995,                0.49171,                 1.0151,               0.000614,               0.000614,               0.000614
                     16,                 0.6715,                0.43551,                 1.0635,                0.92734,                0.86475,                0.93854,                0.76817,                0.71766,                0.49734,                 1.0343,               0.000515,               0.000515,               0.000515
                     17,                0.64899,                 0.4182,                 1.0413,                0.95693,                 0.8867,                0.94457,                0.78503,                0.69951,                0.47227,                 1.0288,               0.000416,               0.000416,               0.000416
                     18,                0.62764,                0.39665,                 1.0314,                  0.952,                0.87947,                0.94681,                0.79961,                 0.6571,                0.45049,                 1.0093,               0.000317,               0.000317,               0.000317
                     19,                0.60548,                0.37403,                 1.0133,                0.95892,                0.87993,                0.94928,                0.80069,                0.65019,                 0.4429,                0.99097,               0.000218,               0.000218,               0.000218
                     20,                0.58685,                0.35961,                 1.0025,                0.95949,                0.88248,                0.94872,                0.80224,                0.64906,                0.44526,                 0.9935,               0.000119,               0.000119,               0.000119
